,factors,regularization,iterations,rank_score,pop_score
221,20,30,45,0.090143533,0.080133403
223,20,30,300,0.090211336,0.080133403
319,140,30,300,0.090247478,0.080133403
511,380,30,300,0.090248284,0.080133403
367,200,30,300,0.090248763,0.080133403
271,80,30,300,0.090249115,0.080133403
463,320,30,300,0.090255538,0.080133403
415,260,30,300,0.090256117,0.080133403
270,80,30,75,0.090256243,0.080133403
559,440,30,300,0.090256596,0.080133403
557,440,30,45,0.0902571,0.080133403
509,380,30,45,0.09025778,0.080133403
366,200,30,75,0.090258233,0.080133403
413,260,30,45,0.090258258,0.080133403
558,440,30,75,0.090259795,0.080133403
462,320,30,75,0.090261633,0.080133403
318,140,30,75,0.090261709,0.080133403
510,380,30,75,0.090261935,0.080133403
414,260,30,75,0.090262187,0.080133403
461,320,30,45,0.090263875,0.080133403
269,80,30,45,0.090264177,0.080133403
365,200,30,45,0.090265789,0.080133403
317,140,30,45,0.090270373,0.080133403
508,380,30,15,0.090327849,0.080133403
556,440,30,15,0.090336714,0.080133403
460,320,30,15,0.090376837,0.080133403
412,260,30,15,0.090382101,0.080133403
222,20,30,75,0.090382151,0.080133403
364,200,30,15,0.090435849,0.080133403
174,16,30,75,0.090460859,0.080133403
316,140,30,15,0.090504583,0.080133403
175,16,30,300,0.090513575,0.080133403
268,80,30,15,0.091069342,0.080133403
173,16,30,45,0.091166461,0.080133403
220,20,30,15,0.09138974,0.080133403
172,16,30,15,0.092121436,0.080133403
126,12,30,75,0.092627963,0.080133403
127,12,30,300,0.092672619,0.080133403
125,12,30,45,0.093553771,0.080133403
124,12,30,15,0.094116591,0.080133403
79,8,30,300,0.09497432,0.080133403
78,8,30,75,0.095165612,0.080133403
76,8,30,15,0.095522355,0.080133403
77,8,30,45,0.095695865,0.080133403
467,320,45,300,0.099016086,0.080133403
131,12,45,300,0.099016237,0.080133403
323,140,45,300,0.099016741,0.080133403
515,380,45,300,0.099016867,0.080133403
419,260,45,300,0.099017371,0.080133403
275,80,45,300,0.099017723,0.080133403
563,440,45,300,0.099022332,0.080133403
179,16,45,300,0.099022559,0.080133403
371,200,45,300,0.099022786,0.080133403
562,440,45,75,0.099022962,0.080133403
227,20,45,300,0.099023088,0.080133403
322,140,45,75,0.099025279,0.080133403
514,380,45,75,0.099026841,0.080133403
466,320,45,75,0.099028931,0.080133403
418,260,45,75,0.099030543,0.080133403
370,200,45,75,0.0990314,0.080133403
274,80,45,75,0.099039938,0.080133403
83,8,45,300,0.099041877,0.080133403
178,16,45,75,0.099042985,0.080133403
226,20,45,75,0.099047292,0.080133403
561,440,45,45,0.099049408,0.080133403
417,260,45,45,0.09905243,0.080133403
130,12,45,75,0.099052607,0.080133403
513,380,45,45,0.099054748,0.080133403
465,320,45,45,0.099055957,0.080133403
82,8,45,75,0.099057568,0.080133403
321,140,45,45,0.099062354,0.080133403
369,200,45,45,0.099064444,0.080133403
273,80,45,45,0.099068323,0.080133403
225,20,45,45,0.099086735,0.080133403
129,12,45,45,0.099088321,0.080133403
177,16,45,45,0.0990922,0.080133403
81,8,45,45,0.099123054,0.080133403
416,260,45,15,0.099224278,0.080133403
560,440,45,15,0.099226596,0.080133403
512,380,45,15,0.09922725,0.080133403
464,320,45,15,0.099243899,0.080133403
320,140,45,15,0.099266894,0.080133403
368,200,45,15,0.099270093,0.080133403
272,80,45,15,0.099270546,0.080133403
