,user_lim,item_lim,num_users_at_lim,num_items_at_lim,sparsity,percent_users_lost,percent_items_lost,rank_score,pop_rank_score
43,5,0,3961,12441,99.77893334,81.47247299,2.185706423,0.080581703,0.065247734
36,4,0,4746,12441,99.80885083,77.80064549,2.185706423,0.081450146,0.065743877
29,3,0,5957,12441,99.84117345,72.13620843,2.185706423,0.082281604,0.066444592
22,2,0,7826,12441,99.87334546,63.39398475,2.185706423,0.083130555,0.066552906
15,1,0,11220,12441,99.90679501,47.51859301,2.185706423,0.08651225,0.06651454
44,5,1,3961,7428,99.64392324,81.47247299,41.59918233,0.090127235,0.083267406
37,4,1,4746,7428,99.69198901,77.80064549,41.59918233,0.090612155,0.083684278
30,3,1,5957,7428,99.74392182,72.13620843,41.59918233,0.091597734,0.084294449
8,0,0,20858,12441,99.94614874,2.436970859,2.185706423,0.092126546,0.067041448
23,2,1,7826,7428,99.79563241,63.39398475,41.59918233,0.092482625,0.084009309
16,1,1,11220,7428,99.84955514,47.51859301,41.59918233,0.09633122,0.084577106
9,0,1,20858,7428,99.91304125,2.436970859,41.59918233,0.101230471,0.084898349
45,5,2,3961,5065,99.4962284,81.47247299,60.17768693,0.101567916,0.099932019
38,4,2,4746,5065,99.56421556,77.80064549,60.17768693,0.102275273,0.100239686
31,3,2,5957,5065,99.63769966,72.13620843,60.17768693,0.103053054,0.100300305
24,2,2,7826,5065,99.71084312,63.39398475,60.17768693,0.103913799,0.100580066
17,1,2,11220,5065,99.78715733,47.51859301,60.17768693,0.10741085,0.101303107
10,0,2,20858,5065,99.87694538,2.436970859,60.17768693,0.112625485,0.101948995
46,5,3,3961,3817,99.35073014,81.47247299,69.98977907,0.113130562,0.116843863
39,4,3,4746,3817,99.43830918,77.80064549,69.98977907,0.113656488,0.117338106
28,3,-1,5957,12719,99.84464494,72.13620843,0,0.114236226,0.094166202
42,5,-1,3961,12719,99.78376521,81.47247299,0,0.11425677,0.09279627
21,2,-1,7826,12719,99.87611375,63.39398475,0,0.114270005,0.09416945
32,3,3,5957,3817,99.53303012,72.13620843,69.98977907,0.114455707,0.117814537
35,4,-1,4746,12719,99.81302879,77.80064549,0,0.114485421,0.093651322
25,2,3,7826,3817,99.62723758,63.39398475,69.98977907,0.115495178,0.117455254
14,1,-1,11220,12719,99.9088322,47.51859301,0,0.116971753,0.094389052
18,1,3,11220,3817,99.72567373,47.51859301,69.98977907,0.118994814,0.118188343
47,5,4,3961,3152,99.23054509,81.47247299,75.21817753,0.119895305,0.127127895
40,4,4,4746,3152,99.3343446,77.80064549,75.21817753,0.120386813,0.127432787
7,0,-1,20858,12719,99.94732577,2.436970859,0,0.120655002,0.094783453
33,3,4,5957,3152,99.44654116,72.13620843,75.21817753,0.120800925,0.127582684
1,-1,0,21379,12441,99.94746108,0,2.185706423,0.121630903,0.066840361
26,2,4,7826,3152,99.55816045,63.39398475,75.21817753,0.121954618,0.127193804
48,5,5,3961,2734,99.12815829,81.47247299,78.50459942,0.123997495,0.134197531
41,4,5,4746,2734,99.24575918,77.80064549,78.50459942,0.124129255,0.134254519
19,1,4,11220,3152,99.67487185,47.51859301,75.21817753,0.124570545,0.127178566
34,3,5,5957,2734,99.37280331,72.13620843,78.50459942,0.124713919,0.134364202
11,0,3,20858,3817,99.84141428,2.436970859,69.98977907,0.125641565,0.119262976
27,2,5,7826,2734,99.49923547,63.39398475,78.50459942,0.125698648,0.134019405
20,1,5,11220,2734,99.63142549,47.51859301,78.50459942,0.127533683,0.133257225
12,0,4,20858,3152,99.81200228,2.436970859,75.21817753,0.13074803,0.127605276
2,-1,1,21379,7428,99.91516041,0,41.59918233,0.131123204,0.08544219
13,0,5,20858,2734,99.78692441,2.436970859,78.50459942,0.134076031,0.134011484
3,-1,2,21379,5065,99.87994419,0,60.17768693,0.141778417,0.102126139
0,-1,-1,21379,12719,99.94860942,0,0,0.14809139,0.09415207
4,-1,3,21379,3817,99.84527897,0,69.98977907,0.153529091,0.119834961
5,-1,4,21379,3152,99.81658373,0,75.21817753,0.158822121,0.128446357
6,-1,5,21379,2734,99.792117,0,78.50459942,0.161596169,0.135220647
